ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m
0, 1.42413, 9.81537, 0.740225, 0, 0, 0, 0, 0, 0, 1
1, 7.70147, 3.67974, 7.39331, 0, 0, 0, 0, 0, 0, 1
2, 7.77736, 3.38262, 4.33791, 0, 0, 0, 0, 0, 0, 1
3, 5.0521, 9.07484, 9.40372, 0, 0, 0, 0, 0, 0, 1
4, 7.52104, 6.1741, 8.50032, 0, 0, 0, 0, 0, 0, 1
5, 5.79227, 0.762951, 5.14212, 0, 0, 0, 0, 0, 0, 1
6, 9.26848, 6.0366, 2.57229, 0, 0, 0, 0, 0, 0, 1
7, 5.81562, 0.049429, 0.21937, 0, 0, 0, 0, 0, 0, 1
8, 8.90575, 1.33685, 7.57923, 0, 0, 0, 0, 0, 0, 1
9, 8.45952, 6.61016, 0.0512494, 0, 0, 0, 0, 0, 0, 1
10, 8.11533, 6.83876, 6.52969, 0, 0, 0, 0, 0, 0, 1
11, 5.5926, 5.97931, 2.00891, 0, 0, 0, 0, 0, 0, 1
12, 9.3663, 4.23901, 3.65261, 0, 0, 0, 0, 0, 0, 1
13, 9.75354, 7.35396, 6.50246, 0, 0, 0, 0, 0, 0, 1
14, 6.65465, 7.57158, 1.72715, 0, 0, 0, 0, 0, 0, 1
15, 8.54669, 8.69875, 0.375373, 0, 0, 0, 0, 0, 0, 1
16, 4.72646, 1.82984, 4.31688, 0, 0, 0, 0, 0, 0, 1
17, 9.08262, 5.36847, 0.669194, 0, 0, 0, 0, 0, 0, 1
18, 7.032, 4.31934, 7.01718, 0, 0, 0, 0, 0, 0, 1
19, 8.18941, 1.84786, 7.80841, 0, 0, 0, 0, 0, 0, 1
20, 7.02827, 0.590298, 0.97124, 0, 0, 0, 0, 0, 0, 1
21, 1.53853, 5.44923, 1.05493, 0, 0, 0, 0, 0, 0, 1
22, 9.41582, 1.73528, 5.40609, 0, 0, 0, 0, 0, 0, 1
23, 6.46768, 9.79535, 7.40064, 0, 0, 0, 0, 0, 0, 1
24, 8.94407, 5.07497, 7.79617, 0, 0, 0, 0, 0, 0, 1
25, 6.58774, 4.64375, 9.94306, 0, 0, 0, 0, 0, 0, 1
26, 4.5865, 7.15429, 6.45342, 0, 0, 0, 0, 0, 0, 1
27, 9.8536, 5.55672, 8.49198, 0, 0, 0, 0, 0, 0, 1
28, 9.52998, 2.01758, 7.48636, 0, 0, 0, 0, 0, 0, 1
29, 7.98281, 5.3592, 5.73465, 0, 0, 0, 0, 0, 0, 1
30, 1.78027, 1.17322, 2.09595, 0, 0, 0, 0, 0, 0, 1
31, 2.11583, 7.07807, 5.90852, 0, 0, 0, 0, 0, 0, 1
32, 0.9965, 5.02886, 4.74777, 0, 0, 0, 0, 0, 0, 1
33, 4.63754, 3.47709, 0.0276318, 0, 0, 0, 0, 0, 0, 1
34, 4.6924, 2.47402, 8.17827, 0, 0, 0, 0, 0, 0, 1
35, 9.0812, 6.28623, 3.82138, 0, 0, 0, 0, 0, 0, 1
36, 0.0401816, 8.83453, 2.97277, 0, 0, 0, 0, 0, 0, 1
37, 1.08821, 3.91331, 3.89436, 0, 0, 0, 0, 0, 0, 1
38, 3.68749, 8.11115, 3.74027, 0, 0, 0, 0, 0, 0, 1
39, 4.9198, 8.16777, 9.80901, 0, 0, 0, 0, 0, 0, 1
40, 9.66608, 9.08354, 2.48809, 0, 0, 0, 0, 0, 0, 1
41, 7.05328, 2.11773, 8.89262, 0, 0, 0, 0, 0, 0, 1
42, 6.6453, 1.05033, 4.66772, 0, 0, 0, 0, 0, 0, 1
43, 6.42167, 1.53919, 6.73243, 0, 0, 0, 0, 0, 0, 1
44, 5.752, 2.23738, 6.75407, 0, 0, 0, 0, 0, 0, 1
45, 3.27231, 1.70271, 2.90611, 0, 0, 0, 0, 0, 0, 1
46, 6.66311, 2.5103, 5.07455, 0, 0, 0, 0, 0, 0, 1
47, 5.01305, 9.08747, 2.09305, 0, 0, 0, 0, 0, 0, 1
48, 8.06122, 0.247478, 6.93048, 0, 0, 0, 0, 0, 0, 1
49, 0.498293, 7.43521, 1.82612, 0, 0, 0, 0, 0, 0, 1
50, 6.31463, 5.17698, 6.18802, 0, 0, 0, 0, 0, 0, 1
51, 9.18187, 2.30289, 5.8319, 0, 0, 0, 0, 0, 0, 1
52, 2.74677, 3.11294, 9.95083, 0, 0, 0, 0, 0, 0, 1
53, 6.06411, 8.41618, 2.59621, 0, 0, 0, 0, 0, 0, 1
54, 6.44254, 6.65292, 4.06958, 0, 0, 0, 0, 0, 0, 1
55, 6.48603, 7.65009, 6.47353, 0, 0, 0, 0, 0, 0, 1
56, 1.035, 2.25347, 2.12966, 0, 0, 0, 0, 0, 0, 1
57, 9.13653, 2.62673, 9.85884, 0, 0, 0, 0, 0, 0, 1
58, 7.9547, 4.20999, 8.46553, 0, 0, 0, 0, 0, 0, 1
59, 9.37837, 5.50247, 8.27387, 0, 0, 0, 0, 0, 0, 1
60, 5.75462, 6.92873, 5.67031, 0, 0, 0, 0, 0, 0, 1
61, 6.87941, 7.5457, 4.80054, 0, 0, 0, 0, 0, 0, 1
62, 5.58014, 4.48578, 0.358337, 0, 0, 0, 0, 0, 0, 1
63, 7.8247, 7.34045, 8.74996, 0, 0, 0, 0, 0, 0, 1
64, 7.79696, 4.51348, 7.54995, 0, 0, 0, 0, 0, 0, 1
65, 8.04437, 3.04359, 1.82729, 0, 0, 0, 0, 0, 0, 1
66, 4.89901, 1.68442, 7.22645, 0, 0, 0, 0, 0, 0, 1
67, 5.11007, 8.00444, 4.97328, 0, 0, 0, 0, 0, 0, 1
68, 5.6332, 0.95779, 8.01994, 0, 0, 0, 0, 0, 0, 1
69, 3.50908, 2.72401, 5.85635, 0, 0, 0, 0, 0, 0, 1
70, 5.42849, 1.81977, 0.475231, 0, 0, 0, 0, 0, 0, 1
71, 3.35412, 9.48353, 1.12263, 0, 0, 0, 0, 0, 0, 1
72, 3.8001, 8.70689, 9.47554, 0, 0, 0, 0, 0, 0, 1
73, 7.88943, 7.36277, 7.13843, 0, 0, 0, 0, 0, 0, 1
74, 4.88284, 9.98865, 9.63704, 0, 0, 0, 0, 0, 0, 1
75, 8.32233, 4.91426, 3.00456, 0, 0, 0, 0, 0, 0, 1
76, 1.50138, 7.54616, 5.68554, 0, 0, 0, 0, 0, 0, 1
77, 4.7517, 4.22709, 5.59659, 0, 0, 0, 0, 0, 0, 1
78, 3.80873, 4.8989, 4.10846, 0, 0, 0, 0, 0, 0, 1
79, 0.390325, 3.12279, 2.95157, 0, 0, 0, 0, 0, 0, 1
80, 0.859563, 4.97566, 1.86608, 0, 0, 0, 0, 0, 0, 1
81, 1.69077, 4.43065, 1.03566, 0, 0, 0, 0, 0, 0, 1
82, 6.83254, 7.74822, 4.27572, 0, 0, 0, 0, 0, 0, 1
83, 7.83483, 9.05191, 7.0624, 0, 0, 0, 0, 0, 0, 1
84, 6.98413, 6.68779, 0.340304, 0, 0, 0, 0, 0, 0, 1
85, 7.82504, 8.75236, 6.75973, 0, 0, 0, 0, 0, 0, 1
86, 6.63986, 7.32793, 0.872121, 0, 0, 0, 0, 0, 0, 1
87, 3.54297, 0.040749, 4.82197, 0, 0, 0, 0, 0, 0, 1
88, 3.79909, 2.5784, 4.69855, 0, 0, 0, 0, 0, 0, 1
89, 5.40961, 5.31108, 1.46165, 0, 0, 0, 0, 0, 0, 1
90, 9.55871, 3.57776, 8.35921, 0, 0, 0, 0, 0, 0, 1
91, 7.4655, 6.11899, 1.97188, 0, 0, 0, 0, 0, 0, 1
92, 0.475783, 9.59752, 2.21093, 0, 0, 0, 0, 0, 0, 1
93, 9.65427, 9.02844, 8.82499, 0, 0, 0, 0, 0, 0, 1
94, 1.99102, 1.46797, 0.0235663, 0, 0, 0, 0, 0, 0, 1
95, 0.175809, 2.44366, 2.06671, 0, 0, 0, 0, 0, 0, 1
96, 6.7786, 4.34256, 0.725962, 0, 0, 0, 0, 0, 0, 1
97, 7.82039, 2.69196, 8.75978, 0, 0, 0, 0, 0, 0, 1
98, 1.29561, 8.92956, 4.82225, 0, 0, 0, 0, 0, 0, 1
99, 3.59533, 0.550112, 8.11509, 0, 0, 0, 0, 0, 0, 1
100, 9.10845, 7.50951, 3.45442, 0, 0, 0, 0, 0, 0, 1
101, 8.77107, 8.48117, 6.08671, 0, 0, 0, 0, 0, 0, 1
102, 6.64327, 7.88967, 2.20852, 0, 0, 0, 0, 0, 0, 1
103, 3.64326, 9.56036, 9.94095, 0, 0, 0, 0, 0, 0, 1
104, 8.0466, 5.30481, 8.34121, 0, 0, 0, 0, 0, 0, 1
105, 4.63711, 4.05561, 3.88158, 0, 0, 0, 0, 0, 0, 1
106, 1.46057, 7.36842, 7.23278, 0, 0, 0, 0, 0, 0, 1
107, 9.69057, 8.43591, 1.48535, 0, 0, 0, 0, 0, 0, 1
108, 2.0205, 8.58929, 9.97782, 0, 0, 0, 0, 0, 0, 1
109, 0.318845, 5.3252, 0.358111, 0, 0, 0, 0, 0, 0, 1
110, 5.88224, 9.4337, 2.29626, 0, 0, 0, 0, 0, 0, 1
111, 5.53667, 2.27318, 0.455217, 0, 0, 0, 0, 0, 0, 1
112, 5.22755, 9.50773, 5.99722, 0, 0, 0, 0, 0, 0, 1
113, 1.96017, 1.62018, 5.77265, 0, 0, 0, 0, 0, 0, 1
114, 4.70511, 3.11905, 0.333009, 0, 0, 0, 0, 0, 0, 1
115, 7.29426, 6.61949, 6.12664, 0, 0, 0, 0, 0, 0, 1
116, 6.03617, 7.12127, 9.42438, 0, 0, 0, 0, 0, 0, 1
117, 1.00374, 1.83465, 5.07672, 0, 0, 0, 0, 0, 0, 1
118, 6.18899, 8.41685, 4.35811, 0, 0, 0, 0, 0, 0, 1
119, 3.62562, 2.26981, 4.32201, 0, 0, 0, 0, 0, 0, 1
120, 9.37652, 2.06613, 9.73185, 0, 0, 0, 0, 0, 0, 1
121, 5.52442, 4.97375, 0.89273, 0, 0, 0, 0, 0, 0, 1
122, 9.67148, 8.62645, 3.97668, 0, 0, 0, 0, 0, 0, 1
123, 5.84734, 5.72025, 2.15571, 0, 0, 0, 0, 0, 0, 1
124, 1.90382, 6.75431, 8.56785, 0, 0, 0, 0, 0, 0, 1
125, 2.43723, 4.77216, 6.79176, 0, 0, 0, 0, 0, 0, 1
126, 5.8951, 1.71192, 6.0089, 0, 0, 0, 0, 0, 0, 1
127, 2.55439, 0.401301, 3.40742, 0, 0, 0, 0, 0, 0, 1
128, 8.68373, 1.93103, 8.02851, 0, 0, 0, 0, 0, 0, 1
129, 9.01267, 9.42037, 1.98706, 0, 0, 0, 0, 0, 0, 1
130, 4.98732, 1.70188, 9.76777, 0, 0, 0, 0, 0, 0, 1
131, 7.34284, 3.7098, 0.456884, 0, 0, 0, 0, 0, 0, 1
132, 6.92868, 1.24165, 0.966168, 0, 0, 0, 0, 0, 0, 1
133, 7.82754, 5.7639, 9.66396, 0, 0, 0, 0, 0, 0, 1
